姓名,录取学段,录取区,招聘类型,学历,院校,职称
教师_1,初中,白云区,应届毕业生,本科,其他高校,中级及以下
教师_2,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_3,初中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_4,初中,越秀区,社会人员,硕士,部属师范院校（除北京师范大学）,正高级
教师_5,初中,越秀区,应届毕业生,本科,其他高校,副高级
教师_6,初中,白云区,应届毕业生,本科,其他普通师范院校,副高级
教师_7,初中,白云区,社会人员,本科,其他高校,副高级
教师_8,高中,越秀区,应届毕业生,本科,其他普通师范院校,中级及以下
教师_9,高中,越秀区,社会人员,本科,其他高校,中级及以下
教师_10,初中,白云区,应届毕业生,硕士,清华,副高级
教师_11,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_12,初中,越秀区,社会人员,硕士,其他高校,中级及以下
教师_13,初中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_14,高中,越秀区,应届毕业生,本科,其他高校,中级及以下
教师_15,小学,白云区,应届毕业生,本科,其他普通师范院校,正高级
教师_16,小学,白云区,应届毕业生,本科,其他高校,中级及以下
教师_17,小学,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_18,高中,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_19,高中,越秀区,社会人员,本科,其他高校,正高级
教师_20,高中,白云区,社会人员,本科,其他高校,中级及以下
教师_21,高中,越秀区,社会人员,本科,部属师范院校（除北京师范大学）,副高级
教师_22,高中,越秀区,应届毕业生,本科,其他普通师范院校,正高级
教师_23,初中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_24,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
教师_25,小学,越秀区,社会人员,硕士,其他普通师范院校,正高级
教师_26,初中,白云区,社会人员,博士,部属师范院校（除北京师范大学）,正高级
教师_27,小学,白云区,社会人员,本科,部属师范院校（除北京师范大学）,中级及以下
教师_28,高中,白云区,应届毕业生,硕士,部属师范院校（除北京师范大学）,中级及以下
教师_29,初中,越秀区,应届毕业生,本科,部属师范院校（除北京师范大学）,正高级
教师_30,初中,越秀区,社会人员,硕士,其他高校,副高级
教师_31,小学,白云区,应届毕业生,本科,清华,中级及以下
教师_32,高中,白云区,社会人员,本科,其他普通师范院校,中级及以下
